claim_id,state,district,latitude,longitude,ml_anomaly,risk_score,risk_level,reasons,recommended_action,priority,decision_brief
FRA0001,Madhya Pradesh,Dindori,22.888642,81.0014,NO,40,MEDIUM,Long processing delay | High claim overlap,,Moderate,"Claim FRA0001 from Dindori, Madhya Pradesh has a risk score of 40/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0002,Maharashtra,Nandurbar,21.240434,74.153187,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0002 from Nandurbar, Maharashtra has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0003,Odisha,Keonjhar,21.607524,85.588633,NO,30,LOW,High claim overlap | Multiple previous rejections,,Normal,"Claim FRA0003 from Keonjhar, Odisha has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0004,Maharashtra,Nashik,19.97252,73.728502,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0004 from Nashik, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0005,Chhattisgarh,Bastar,19.074966,82.073442,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0005 from Bastar, Chhattisgarh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0006,Odisha,Koraput,18.786226,82.833416,NO,0,LOW,,,Normal,"Claim FRA0006 from Koraput, Odisha has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0007,Jharkhand,Gumla,22.894108,84.543659,NO,40,MEDIUM,Long processing delay | High claim overlap,,Moderate,"Claim FRA0007 from Gumla, Jharkhand has a risk score of 40/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0008,Maharashtra,Nashik,20.144932,73.848803,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0008 from Nashik, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0009,Odisha,Koraput,18.724838,82.807906,NO,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0009 from Koraput, Odisha has a risk score of 45/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0010,Chhattisgarh,Kanker,20.332821,81.382501,NO,0,LOW,,,Normal,"Claim FRA0010 from Kanker, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0011,Odisha,Mayurbhanj,21.793812,86.628156,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0011 from Mayurbhanj, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0012,Odisha,Keonjhar,21.756541,85.612119,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0012 from Keonjhar, Odisha has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0013,Maharashtra,Gadchiroli,20.183051,79.901018,YES,35,MEDIUM,High claim overlap | ML anomaly detected,,Moderate,"Claim FRA0013 from Gadchiroli, Maharashtra has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: High claim overlap | ML anomaly detected. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0014,Maharashtra,Gadchiroli,20.255666,80.004797,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0014 from Gadchiroli, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0015,Jharkhand,Simdega,22.631952,84.497445,NO,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0015 from Simdega, Jharkhand has a risk score of 45/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0016,Odisha,Mayurbhanj,21.895382,86.602603,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0016 from Mayurbhanj, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0017,Chhattisgarh,Bastar,19.04441,82.034721,NO,20,LOW,Long processing delay | Multiple previous rejections,,Normal,"Claim FRA0017 from Bastar, Chhattisgarh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0018,Madhya Pradesh,Mandla,22.482373,80.428719,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0018 from Mandla, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0019,Madhya Pradesh,Dindori,22.947673,81.10532,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0019 from Dindori, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0020,Jharkhand,Ranchi,23.409546,85.395784,NO,0,LOW,,,Normal,"Claim FRA0020 from Ranchi, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0021,Maharashtra,Nashik,19.915866,73.691335,YES,25,LOW,Moderate claim overlap | ML anomaly detected,,Normal,"Claim FRA0021 from Nashik, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | ML anomaly detected. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0022,Jharkhand,Ranchi,23.27195,85.349951,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0022 from Ranchi, Jharkhand has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0023,Madhya Pradesh,Dindori,22.856145,81.040892,NO,0,LOW,,,Normal,"Claim FRA0023 from Dindori, Madhya Pradesh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0024,Jharkhand,Gumla,23.098549,84.675459,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0024 from Gumla, Jharkhand has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0025,Odisha,Mayurbhanj,21.978158,86.715845,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0025 from Mayurbhanj, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0026,Jharkhand,Ranchi,23.439406,85.190476,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0026 from Ranchi, Jharkhand has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
