claim_id,state,district,village,claim_type,claimed_area,recorded_area,processing_days,current_stage,documents_complete,land_record_available,overlap_percentage,previous_rejections,latitude,longitude,status,area_mismatch_percentage
FRA0001,Madhya Pradesh,Dindori,Village_74,CR,7.37,6.31,138.0,Gram Sabha,0.0,1.0,75.04,1.0,22.888642,81.0014,Rejected,14.38
FRA0002,Maharashtra,Nandurbar,Village_52,CR,9.89,9.74,101.0,DLC,1.0,0.0,43.85,3.0,21.240434,74.153187,Approved,1.52
FRA0003,Odisha,Keonjhar,Village_41,CFR,6.57,6.88,80.0,Gram Sabha,0.0,1.0,76.63,2.0,21.607524,85.588633,Rejected,4.72
FRA0004,Maharashtra,Nashik,Village_40,CFR,6.74,6.91,116.0,Gram Sabha,0.0,1.0,87.04,1.0,19.97252,73.728502,Rejected,2.52
FRA0005,Chhattisgarh,Bastar,Village_89,IFR,7.49,6.48,173.0,SDLC,1.0,0.0,54.48,2.0,19.074966,82.073442,Pending,13.48
FRA0006,Odisha,Koraput,Village_98,IFR,9.7,9.76,72.0,SDLC,1.0,1.0,9.66,0.0,18.786226,82.833416,Pending,0.62
FRA0007,Jharkhand,Gumla,Village_35,CR,2.92,2.75,125.0,SDLC,0.0,0.0,83.77,1.0,22.894108,84.543659,Pending,5.82
FRA0008,Maharashtra,Nashik,Village_68,CR,5.1,4.82,122.0,Gram Sabha,0.0,1.0,43.39,0.0,20.144932,73.848803,Pending,5.49
FRA0009,Odisha,Koraput,Village_58,IFR,7.12,6.14,123.0,Title Issued,0.0,1.0,89.23,2.0,18.724838,82.807906,Rejected,13.76
FRA0010,Chhattisgarh,Kanker,Village_52,CFR,4.25,3.72,101.0,DLC,0.0,1.0,2.39,1.0,20.332821,81.382501,Pending,12.47
FRA0011,Odisha,Mayurbhanj,Village_13,CFR,4.5,3.88,63.0,DLC,0.0,0.0,47.24,1.0,21.793812,86.628156,Rejected,13.78
FRA0012,Odisha,Keonjhar,Village_52,CFR,5.2,4.51,168.0,Gram Sabha,1.0,0.0,41.75,1.0,21.756541,85.612119,Approved,13.27
FRA0013,Maharashtra,Gadchiroli,Village_49,CR,2.3,1.99,49.0,DLC,1.0,0.0,86.39,0.0,20.183051,79.901018,Rejected,13.48
FRA0014,Maharashtra,Gadchiroli,Village_23,CFR,2.58,2.41,139.0,Gram Sabha,0.0,0.0,20.48,1.0,20.255666,80.004797,Rejected,6.59
FRA0015,Jharkhand,Simdega,Village_80,CR,9.38,8.92,150.0,DLC,1.0,0.0,88.28,2.0,22.631952,84.497445,Pending,4.9
FRA0016,Odisha,Mayurbhanj,Village_74,IFR,8.26,7.37,34.0,Gram Sabha,1.0,1.0,23.57,3.0,21.895382,86.602603,Approved,10.77
FRA0017,Chhattisgarh,Bastar,Village_35,CFR,5.33,5.0,141.0,DLC,1.0,0.0,38.92,2.0,19.04441,82.034721,Rejected,6.19
FRA0018,Madhya Pradesh,Mandla,Village_41,CR,8.86,9.26,44.0,DLC,0.0,1.0,69.55,1.0,22.482373,80.428719,Approved,4.51
FRA0019,Madhya Pradesh,Dindori,Village_22,IFR,9.25,9.12,89.0,Title Issued,1.0,1.0,56.12,0.0,22.947673,81.10532,Approved,1.41
FRA0020,Jharkhand,Ranchi,Village_15,CR,3.66,3.41,57.0,SDLC,1.0,0.0,18.87,0.0,23.409546,85.395784,Pending,6.83
FRA0021,Maharashtra,Nashik,Village_94,CFR,7.32,6.29,22.0,Gram Sabha,1.0,1.0,68.75,0.0,19.915866,73.691335,Pending,14.07
FRA0022,Jharkhand,Ranchi,Village_81,CFR,9.64,9.06,95.0,SDLC,0.0,1.0,70.18,1.0,23.27195,85.349951,Pending,6.02
FRA0023,Madhya Pradesh,Dindori,Village_32,IFR,1.69,1.54,70.0,SDLC,0.0,0.0,34.57,1.0,22.856145,81.040892,Approved,8.88
FRA0024,Jharkhand,Gumla,Village_42,IFR,9.97,10.31,134.0,Title Issued,1.0,0.0,56.33,3.0,23.098549,84.675459,Pending,3.41
FRA0025,Odisha,Mayurbhanj,Village_63,IFR,1.58,1.64,95.0,DLC,0.0,1.0,49.13,0.0,21.978158,86.715845,Rejected,3.8
FRA0026,Jharkhand,Ranchi,Village_11,CFR,3.21,3.06,50.0,DLC,0.0,0.0,78.83,1.0,23.439406,85.190476,Pending,4.67
FRA0027,Chhattisgarh,Bastar,Village_67,IFR,7.39,7.44,26.0,SDLC,0.0,0.0,55.38,1.0,19.009296,81.925932,Approved,0.68
FRA0028,Chhattisgarh,Bastar,Village_46,CFR,5.42,4.92,69.0,Title Issued,1.0,1.0,16.95,1.0,19.073652,82.00256,Pending,9.23
FRA0029,Jharkhand,Gumla,Village_77,CR,4.45,3.87,137.0,Title Issued,1.0,1.0,19.86,0.0,22.919585,84.673443,Pending,13.03
FRA0030,Chhattisgarh,Surguja,Village_69,CFR,3.98,3.87,178.0,Gram Sabha,0.0,0.0,76.16,0.0,22.859044,83.25488,Rejected,2.76
FRA0031,Chhattisgarh,Bastar,Village_77,CR,4.17,3.99,88.0,DLC,0.0,0.0,37.67,3.0,19.200257,81.801453,Approved,4.32
FRA0032,Jharkhand,Ranchi,Village_89,IFR,4.42,3.91,180.0,Gram Sabha,0.0,0.0,29.05,2.0,23.380266,85.184578,Rejected,11.54
FRA0033,Madhya Pradesh,Mandla,Village_48,CFR,7.59,7.26,120.0,Gram Sabha,0.0,0.0,34.03,1.0,22.734347,80.43462,Pending,4.35
FRA0034,Chhattisgarh,Kanker,Village_61,IFR,2.05,2.12,75.0,DLC,1.0,0.0,83.96,1.0,20.315695,81.537684,Rejected,3.41
