claim_id,state,district,risk_score,risk_level,reasons,recommended_action
FRA0001,Madhya Pradesh,Dindori,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0002,Maharashtra,Nandurbar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0003,Odisha,Keonjhar,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0004,Maharashtra,Nashik,25,LOW,High claim overlap,No immediate action required
FRA0005,Chhattisgarh,Bastar,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0006,Odisha,Koraput,0,LOW,,No immediate action required
FRA0007,Jharkhand,Gumla,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0008,Maharashtra,Nashik,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0009,Odisha,Koraput,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0010,Chhattisgarh,Kanker,0,LOW,,No immediate action required
FRA0011,Odisha,Mayurbhanj,15,LOW,Moderate claim overlap,No immediate action required
FRA0012,Odisha,Keonjhar,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0013,Maharashtra,Gadchiroli,35,MEDIUM,High claim overlap | ML anomaly detected,Perform additional document verification
FRA0014,Maharashtra,Gadchiroli,15,LOW,Long processing delay,No immediate action required
FRA0015,Jharkhand,Simdega,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0016,Odisha,Mayurbhanj,5,LOW,Multiple previous rejections,No immediate action required
FRA0017,Chhattisgarh,Bastar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0018,Madhya Pradesh,Mandla,15,LOW,Moderate claim overlap,No immediate action required
FRA0019,Madhya Pradesh,Dindori,15,LOW,Moderate claim overlap,No immediate action required
FRA0020,Jharkhand,Ranchi,0,LOW,,No immediate action required
FRA0021,Maharashtra,Nashik,25,LOW,Moderate claim overlap | ML anomaly detected,No immediate action required
FRA0022,Jharkhand,Ranchi,25,LOW,High claim overlap,No immediate action required
FRA0023,Madhya Pradesh,Dindori,0,LOW,,No immediate action required
FRA0024,Jharkhand,Gumla,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0025,Odisha,Mayurbhanj,15,LOW,Moderate claim overlap,No immediate action required
FRA0026,Jharkhand,Ranchi,25,LOW,High claim overlap,No immediate action required
FRA0027,Chhattisgarh,Bastar,15,LOW,Moderate claim overlap,No immediate action required
FRA0028,Chhattisgarh,Bastar,0,LOW,,No immediate action required
FRA0029,Jharkhand,Gumla,15,LOW,Long processing delay,No immediate action required
FRA0030,Chhattisgarh,Surguja,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0031,Chhattisgarh,Bastar,5,LOW,Multiple previous rejections,No immediate action required
FRA0032,Jharkhand,Ranchi,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0033,Madhya Pradesh,Mandla,0,LOW,,No immediate action required
FRA0034,Chhattisgarh,Kanker,25,LOW,High claim overlap,No immediate action required
FRA0035,Odisha,Keonjhar,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0036,Madhya Pradesh,Dindori,0,LOW,,No immediate action required
FRA0037,Chhattisgarh,Bastar,0,LOW,,No immediate action required
FRA0038,Maharashtra,Nandurbar,15,LOW,Multiple previous rejections | ML anomaly detected,No immediate action required
FRA0039,Maharashtra,Nandurbar,25,LOW,High claim overlap,No immediate action required
FRA0040,Jharkhand,Ranchi,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0041,Madhya Pradesh,Balaghat,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0042,Maharashtra,Nashik,25,LOW,High claim overlap,No immediate action required
FRA0043,Madhya Pradesh,Balaghat,25,LOW,High claim overlap,No immediate action required
