claim_id,state,district,village,claim_type,claimed_area,recorded_area,processing_days,current_stage,documents_complete,land_record_available,overlap_percentage,previous_rejections,latitude,longitude,status
FRA0001,Madhya Pradesh,Dindori,Village_74,CR,7.37,6.31,138,Gram Sabha,0,1,75.04,1,22.888642,81.0014,Rejected
FRA0002,Maharashtra,Nandurbar,Village_52,CR,9.89,9.74,101,DLC,1,0,43.85,3,21.240434,74.153187,Approved
FRA0003,Odisha,Keonjhar,Village_41,CFR,6.57,6.88,80,Gram Sabha,0,1,76.63,2,21.607524,85.588633,Rejected
FRA0004,Maharashtra,Nashik,Village_40,CFR,6.74,6.91,116,Gram Sabha,0,1,87.04,1,19.97252,73.728502,Rejected
FRA0005,Chhattisgarh,Bastar,Village_89,IFR,7.49,6.48,173,SDLC,1,0,54.48,2,19.074966,82.073442,Pending
FRA0006,Odisha,Koraput,Village_98,IFR,9.7,9.76,72,SDLC,1,1,9.66,0,18.786226,82.833416,Pending
FRA0007,Jharkhand,Gumla,Village_35,CR,2.92,2.75,125,SDLC,0,0,83.77,1,22.894108,84.543659,Pending
FRA0008,Maharashtra,Nashik,Village_68,CR,5.1,4.82,122,Gram Sabha,0,1,43.39,0,20.144932,73.848803,Pending
FRA0009,Odisha,Koraput,Village_58,IFR,7.12,6.14,123,Title Issued,0,1,89.23,2,18.724838,82.807906,Rejected
FRA0010,Chhattisgarh,Kanker,Village_52,CFR,4.25,3.72,101,DLC,0,1,2.39,1,20.332821,81.382501,Pending
FRA0011,Odisha,Mayurbhanj,Village_13,CFR,4.5,3.88,63,DLC,0,0,47.24,1,21.793812,86.628156,Rejected
FRA0012,Odisha,Keonjhar,Village_52,CFR,5.2,4.51,168,Gram Sabha,1,0,41.75,1,21.756541,85.612119,Approved
FRA0013,Maharashtra,Gadchiroli,Village_49,CR,2.3,1.99,49,DLC,1,0,86.39,0,20.183051,79.901018,Rejected
FRA0014,Maharashtra,Gadchiroli,Village_23,CFR,2.58,2.41,139,Gram Sabha,0,0,20.48,1,20.255666,80.004797,Rejected
FRA0015,Jharkhand,Simdega,Village_80,CR,9.38,8.92,150,DLC,1,0,88.28,2,22.631952,84.497445,Pending
FRA0016,Odisha,Mayurbhanj,Village_74,IFR,8.26,7.37,34,Gram Sabha,1,1,23.57,3,21.895382,86.602603,Approved
FRA0017,Chhattisgarh,Bastar,Village_35,CFR,5.33,5.0,141,DLC,1,0,38.92,2,19.04441,82.034721,Rejected
FRA0018,Madhya Pradesh,Mandla,Village_41,CR,8.86,9.26,44,DLC,0,1,69.55,1,22.482373,80.428719,Approved
FRA0019,Madhya Pradesh,Dindori,Village_22,IFR,9.25,9.12,89,Title Issued,1,1,56.12,0,22.947673,81.10532,Approved
FRA0020,Jharkhand,Ranchi,Village_15,CR,3.66,3.41,57,SDLC,1,0,18.87,0,23.409546,85.395784,Pending
FRA0021,Maharashtra,Nashik,Village_94,CFR,7.32,6.29,22,Gram Sabha,1,1,68.75,0,19.915866,73.691335,Pending
FRA0022,Jharkhand,Ranchi,Village_81,CFR,9.64,9.06,95,SDLC,0,1,70.18,1,23.27195,85.349951,Pending
FRA0023,Madhya Pradesh,Dindori,Village_32,IFR,1.69,1.54,70,SDLC,0,0,34.57,1,22.856145,81.040892,Approved
